Bus;Zone;Bus_Name;Zone_Name;Cdef
1;1;SP;SECO;7643.82
2;1;RJ;SECO;7643.82
3;1;MG;SECO;7643.82
4;1;ES;SECO;7643.82
5;1;MS;SECO;7643.82
6;1;GO;SECO;7643.82
7;1;MT;SECO;7643.82
8;1;RO;SECO;7643.82
9;1;AC;SECO;7643.82
10;2;PR;S;7643.82
11;2;SC;S;7643.82
12;2;RS;S;7643.82
13;3;BA;NE;7643.82
14;3;PI;NE;7643.82
15;3;CE;NE;7643.82
16;3;RN;NE;7643.82
17;3;PB;NE;7643.82
18;3;PE;NE;7643.82
19;3;AL;NE;7643.82
20;3;SE;NE;7643.82
21;4;TO;N;7643.82
22;4;MA;N;7643.82
23;4;PA;N;7643.82
24;4;AP;N;7643.82
25;4;AM;N;7643.82
0;5;FC;FC;7643.82
