Line;from;to;Fmin;Fmax;x
1;1;2;-8642.54007;7942.225861;3.46
2;1;3;-25541.26;15527.51445;3.05
3;1;5;-695.5364652;1257.569965;4.6
4;1;8;-6300;0;1
5;1;10;-26524.51722;14278.8377;4.3
6;2;3;-1036.880005;838.7200012;6.5
7;2;4;-1557.579956;1892.380005;3.79
8;2;23;-3000;1250;1
9;3;4;-826.6076164;3873.646317;2.44
10;3;6;-12806.82217;4894.248512;4.92
11;3;13;-10514.26514;3732.932419;2.13
12;3;23;-3000;1250;1
13;5;6;-961.3245544;747.4888611;9.24
14;5;10;-227.4000092;363.3999939;18.92
15;6;7;-9656.650833;2356.403572;14.48
16;6;13;-4628.679565;2968.846924;2.48
17;6;21;-7675.395996;7198.301758;2.5
18;7;8;-1370.876343;810.3512726;19.17
19;8;9;84.33032227;708.3532715;16.84
20;10;11;-9027.783058;18166.85923;5.47
21;11;12;-2722.503393;14226.72241;5.12
22;13;14;-5037.407394;4035.284557;5.01
23;13;18;-3943.842844;3610.91214;7.37
24;13;19;-2017.6945;1437.939568;5.71
25;13;20;-2174.321127;407.2984619;11.98
26;14;15;-6590.101986;6767.517887;4.98
27;14;21;-4169.540039;6704.934692;3.54
28;14;22;-4974.057724;5198.03624;4.91
29;15;16;-6631.686646;2455.977222;6.04
30;15;17;-490.5235596;384.2483063;11.66
31;15;18;-2018.719643;1386.797562;5.08
32;16;17;-1343.114182;6568.47583;7.61
33;17;18;-2092.72;5740.629354;6.96
34;18;19;-2430.064213;1615.503166;7.12
35;19;20;-1329.456802;3359.835182;6.19
36;21;22;-1768.786621;2316.468018;3.55
37;21;23;-5716.751221;4348.869629;3.04
38;22;23;-8230.702148;5724.44458;2.37
39;23;24;-1219.497238;563.8138428;6.1
40;23;25;-620.56;1660.94;3.45
