Bus;Zone;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;1;15290.13742;14295.79282;13791.2817;13590.7022;13739.09848;14325.98697;15256.9767;16123.78551;16901.32268;17525.72146;18148.01597;18512.40695;18463.91222;19195.06993;19953.34857;20506.22983;20716.87268;20053.88331;21067.47364;21166.47969;20341.95406;19543.31987;18081.26277;16710.49743
2;1;5153.061476;4907.20685;4737.986306;4674.10977;4903.885901;5010.995742;5210.58307;5541.928628;5783.975296;5903.579012;6101.799631;6517.55578;6610.109487;6754.410218;6958.042295;7038.921169;6883.252501;6571.024368;6959.055696;6928.026859;6803.81449;6695.007793;6388.123564;6127.048703
3;1;5998.824982;5962.2519;5657.330648;5557.080904;5629.976913;5475.713803;4992.750238;4042.348334;3615.885249;3580.010352;3869.567306;4067.590081;4225.567374;4766.350383;5449.546893;5916.098905;6185.829744;6043.999578;6471.28255;6194.342315;6183.743887;6156.553905;5852.442987;5838.34906
4;1;1288.329103;1232.646243;1216.094335;1167.653577;1172.34561;1170.691108;1170.105324;1247.066166;1272.006382;1263.155444;1289.775118;1251.457265;1254.061694;1313.966728;1376.54525;1427.845136;1468.811373;1467.252215;1518.674619;1491.404811;1471.983016;1491.116915;1483.929035;1422.53812
5;1;722.4315677;677.5334181;648.3016932;627.7470544;616.934744;619.1430807;606.5021706;603.4229171;595.7883882;606.4942353;611.8334183;630.9806804;648.2468493;671.7873071;767.442211;792.9602571;818.2291553;796.5188672;772.802685;809.8958906;811.5633698;771.0666815;761.5011231;720.2391865
6;1;2428.11377;2205.002441;2126.339355;2048.902344;2021.734863;2054.993896;2113.217773;2152.456543;2248.39209;2332.897949;2423.973877;2452.205078;2589.810547;2621.650635;2915.469727;3068.986328;3153.644043;3161.32373;2983.589844;3300.208496;3220.529785;3185.81543;3182.513916;3023.493652
7;1;1945.568959;1872.905607;1787.752968;1730.911529;1684.054734;1643.35547;1541.807544;1390.463629;1349.275887;1337.77496;1302.679932;1301.244518;1281.673531;1331.526631;1539.347326;1703.772497;1743.179695;1802.195147;1645.660539;1646.327591;1684.342399;1729.687924;1860.811888;1857.406047
8;1;713.3581501;680.849573;647.4497601;619.865012;599.4611837;579.2145409;559.9518919;505.0919942;522.8708817;575.2382883;584.5311442;600.9829447;598.1852519;621.077175;700.547517;746.077507;753.4827089;740.8291458;676.4278202;676.8217449;718.4885235;732.7643387;752.6369181;764.8239153
9;1;149.2486697;144.3117945;138.3405535;132.0813002;126.4618861;122.3092716;118.7581914;108.8803992;108.2559544;123.624319;138.4384188;145.5578336;149.9824629;152.9562655;155.7860029;173.0373776;182.664257;170.0900823;153.630753;143.0443468;145.4035745;145.6707367;145.7988751;146.3241878
10;2;3470.797278;3277.227057;3178.894591;3191.480688;3210.58457;3409.448878;3668.757918;3994.242668;4267.171796;4337.383632;4508.016414;4547.182025;4239.832297;4477.204549;4581.070407;4627.792049;4702.553772;4708.569122;4795.751294;4882.218259;4635.271326;4503.888052;4168.423631;3756.002494
11;2;3044.138573;2871.63057;2803.274496;2789.321361;2850.654404;3135.214786;3464.282766;3815.517254;3996.588451;4035.459311;4161.611674;4178.006831;3748.217812;3749.294217;3796.353502;3808.564111;3899.181248;3955.931884;4086.277945;4104.267469;3932.132065;3718.088012;3500.914684;3091.64786
12;2;3185.945969;2942.18765;2790.623721;2742.864218;2763.108935;2918.937675;3280.978719;3809.498439;4151.08507;4191.187438;4237.450794;4042.906252;3443.310594;3495.28593;3738.16584;3880.389324;4003.235079;4062.197915;4335.468628;4710.873765;4503.615875;4298.125027;3986.175988;3603.547626
13;3;3306.857296;3163.384938;3101.713051;3031.323034;3036.23802;2968.088863;2931.599125;2976.686154;3049.852802;3093.642054;3127.124603;3114.018263;3051.891806;3157.130358;3350.034086;3409.791877;3454.94592;3398.825846;3312.000038;3246.127812;3186.698108;3458.543391;3560.158217;3488.022868
14;3;489.8003898;469.296134;449.0417402;431.8442728;414.2692757;384.0803268;315.3874117;278.2989372;288.9134895;280.357273;275.9620122;270.2725503;281.5680722;326.648523;372.7844991;408.0663725;436.0282811;444.1129849;483.2756791;489.6500642;496.9240037;517.9222533;529.340223;522.4166976
15;3;1570.670807;1512.229447;1481.791228;1459.82325;1459.187988;1363.203029;1307.188044;1399.575343;1497.85446;1517.708103;1539.788039;1489.536461;1484.474985;1644.77538;1758.848159;1821.715631;1829.154647;1705.073582;1797.233542;1773.871505;1762.21131;1802.912275;1784.929414;1740.280725
16;3;781.9717122;771.8018716;762.2615663;735.4371674;733.6475395;674.2486035;616.857793;606.0419082;616.1363972;606.5341625;603.7619578;564.2715929;540.0265479;594.6863687;655.5493196;695.7960625;702.8908403;691.7412571;719.7371152;725.7099676;738.9470078;792.0177327;792.7827846;768.9670014
17;3;716.3246951;692.3626353;666.2368651;672.9873141;677.1509559;619.9979802;560.2195433;545.1501383;560.4259274;557.8883081;556.8560127;541.2890657;535.2476786;586.9830362;644.3959548;697.5018175;716.1439316;718.3709301;736.8240795;721.3941168;719.8427544;735.2828642;748.5839748;724.5417793
18;3;1842.959073;1791.806549;1751.630321;1724.716438;1709.448839;1596.382034;1468.598891;1454.651993;1524.858633;1534.399421;1544.269995;1556.01338;1527.77994;1529.540376;1667.245058;1704.127801;1788.645617;1833.237366;1873.709765;1860.486396;1865.897003;1928.372578;1920.559182;1880.241549
19;3;578.183555;556.3072844;544.4095234;535.59281;529.1037948;486.9826484;468.3680078;481.2843084;509.8052187;505.7472972;531.326322;543.9654895;535.5621633;560.4596045;600.4495135;621.9566651;623.9655553;619.9297087;644.7204529;643.0871187;645.4442824;663.1239597;664.6527458;653.0357573
20;3;462.8089562;454.3886686;446.4405644;446.633199;447.9606068;415.822865;412.0690086;448.0285747;478.0934549;488.9681743;497.7196925;504.6023416;467.4550267;490.4237441;523.2146724;537.0921345;536.1489848;510.3236518;526.9992303;520.3154624;520.5153849;530.1731969;515.5853359;490.2800079
21;4;160.6204235;156.7449637;153.5915293;149.8898234;143.2387628;137.0726743;120.0259066;118.0326001;127.7520872;128.4392924;128.2321676;114.599389;117.4573245;136.8410495;146.6707019;155.5283437;155.9530233;143.4152414;132.0386043;136.3819269;139.1721898;155.8104901;164.0106831;163.0656605
22;4;1658.288517;1612.523014;1566.604047;1525.798119;1501.328003;1442.052916;1307.958487;1290.882314;1358.377228;1389.331087;1409.699805;1367.005175;1353.596911;1451.670578;1541.222111;1596.355605;1589.899559;1523.720729;1581.149785;1600.386047;1622.722492;1679.894927;1709.315136;1689.526417
23;4;2876.095653;2810.646127;2756.357337;2724.234693;2689.603787;2679.255855;2541.58062;2530.882543;2661.9527;2666.090772;2732.336045;2703.167707;2660.755526;2790.565867;2941.049271;2990.057556;3007.815569;2948.239785;2910.412151;2947.83962;2961.440996;2958.125638;3040.015575;3014.920041
24;4;296.7033071;284.4693278;274.4692759;265.0424944;255.9890433;243.9842446;218.0241101;212.2318856;230.4019676;240.5005902;246.3873933;251.9951639;264.5767443;291.7912524;309.1873459;308.748698;298.0833165;276.4197632;272.3832624;288.1812832;294.8878541;300.6835546;304.2084966;302.1538365
25;4;1497.844415;1464.848605;1416.666772;1348.1511;1301.94704;1259.799055;1185.42327;1093.975732;1159.626457;1245.405483;1270.054305;1296.350419;1317.726528;1389.943683;1517.100446;1573.182199;1555.499364;1499.027664;1388.083067;1461.232222;1524.325267;1551.043434;1570.32923;1560.771106
26;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
